FORM_NAME,CATEGORY_NAME,MAKE,MODEL,POWER,TYRE_SIZE,NET_WT,NUMBER_WHEELS,NUMBER_AXLES
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,MERCEDES-BENZ,ML 350 CDI,3500,225/65R19,2000,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,NOAH TA-AZR65G,1998,195/65R15,1600,4,2
First Time Registration - Motor Cycle,Ordinary Vehicles,SENKO,LGVSJP,125,2.50-18,101,2,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,MASSEY FERGUSON,2640-D1,110,"11.00-16,  18.4-38",3050,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE KC-LH113V,2779,195/80R15,1640,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,CORONA PREMIO E-AT211,1762,185/65R14,1150,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1794,195/65R15,1300,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE (KC-LH113V),2779,185R14,1590,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,CORONA PREMIO E-AT211,1762,175/70R14,1150,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,ELF (NHR54E),2490,165R14,1580,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,ALLEX XS150 TA-NZE121,1490,185/70R14,1070,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,KLUGER V (TA-ACU20W),2362,225/60R17,1550,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,COROLLA SPACIO (TA-NZE121N),1496,195/80R15,1180,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE KG-LH178V,2980,195/60R16,1890,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,KLUGER (UA-ACU20W),2362,225/60R17,1500,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1790,195/65R15,1320,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE (KG-LH178V),2984,215/70R15,1820,4,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,TOYOTA,LAND CRUISER(HZJ79LDKMRS),4163,7.50R16,1162,4,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,FIAT,DUCATO,78,10.00-16  13.6R38,2200,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,PREMIO TA-AZT240,1998,195/65R15,1240,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,Landcruiser Station Wagon,4663,275/70R16,2300,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (P-FE305B),3564,7.00R16,1920,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1794,195/65R15,1300,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,DYNA U-BU88,3660,7.00R16,2710,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (FE308B),2830,6.50R15,1840,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,CORONA PREMIO GF-AT211,1762,195/65R15,1150,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HARRIER CBA-ACU30W-AWPGK,2398,245/45R20,1620,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (P-FE315BD),3567,6.50R16,2540,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,LAND CRUISER (KG-HDJ101K),4200,265/70R16,2140,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,DAIHATSU,HIJET (V-S110P),650,145R12,139,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,COROLLA SPACIO TA-NZE121N,1496,185/70R14,1190,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1794,195/65R15,1320,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,MARK II GRANDE TA-GX110,1980,195/65R15,1380,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,COROLLA SPACIO (TA-NZE121N),1496,185/70R14,1180,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,COMO(LC-JVPE25),1990,185/75R15,1770,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,LAND CRUISER PRADO GF-RZJ95W,2693,265/70R16,1880,4,2
First Time Registration - Motor Vehicle,Diplomatic Vehicles,TOYOTA,LANDCRUISER  70 (HZJ76R-RKMRS),4164,750 R16,2160,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,ELF (P-NKR58ED),3630,7.00R15,2600,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,TOWNACE NOAH GF-SR40G,1998,21565R15,1500,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,TOWNACE NOAH E-SR50G,1998,205/65R15,2200,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH DBA-ZNE10G- HPPNK,1790,195/65R15,1300,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (P-FE305B),3564,7.00R15,1980,6,2
First Time Registration - Motor Cycle,Ordinary Vehicles,HONDA,ZB50,50,80/100-10,100,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,CORONA PREMIO E-AT211,1762,175/70R14,1150,4,2
First Time Registration - Trailer,Ordinary Vehicles,FOUR WINNS,238 VISTA,,205/75R14,1200,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,VOLKSWAGEN,GOLF CLI GF-1JAPK,1980,195/65R15,1260,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,NISSAN,DUALIS DBA-KJ10,1990,215R17,1490,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,SUCCEED CBA-NCP58G-FWPLK,1490,175/65R14,1060,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,AUDI,Q7 ABA-4LBARS,4200,295/13R21,2500,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,SUZUKI,CARRY V-DD51T,6500,145R12,730,4,2
First Time Registration - Trailer,Ordinary Vehicles,BACHU,HIGH SIDED,,315/80R22.5,8500,12,3
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE LH113,2779,185/65R15,1630,4,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,MASSEY FERGUSON,MF575,68,"7.50-18, 13.6R38",3550,4,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,MASSEY FERGUSON,MF575,68,"7.50-18, 12.6R38",3025,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,ROSA (BE449F),3906,7.00R16,3610,6,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 STD,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,YB50,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V80 B/M 12V DX,80,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,AUDI,A4 GF-8EASNF,2970,215/45R18,3410,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,VAUXHALL,LIFE,2000,205/55R16,1500,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,DAEWOO,SEDAN (NUBIRA),850,155/65R13,900,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,VITZ GH-NCP10,998,185/80R13,860,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,LANDCRUISER  70 (HZJ76R-RKMRS),4164,7.5R16,2160,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,FUSO (FK417F),7545,750R16,4000,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,FORWARD (FRR12DA),6494,750R16,4000,6,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,BLACK X-MAX 125,125,"3.00-17 F, 3.25-17R",150,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,FUSO (FK417E),7545,750R16,4000,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,FORWARD (U-FRR32DB),7120,225/80R17,4000,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (FE315B),3567,6.50R16,2270,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,FUSO (FK417K),7545,7.65R15,2980,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,FORWARD (NRR32),7127,225/80R17.5,4000,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,COROLLA SPACIO TA-NZE121N,1496,185/70R14,1180,4,2
First Time Registration - Motor Cycle,Ordinary Vehicles,SENKE,CG 125,125,2.75-18,101,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,FUSO (FK415J),6557,8.25R16,4000,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE (KG-LH178V),2980,185R14,1830,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,NISSAN,X-TRAIL (TA-NT30),1998,215/65R16,1400,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,FUSO (U-FK416K),7545,7.00R15,4000,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TATA,LPT 813EX2/34,5675,7.50R16,4230,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1800,195/65R15,1300,4,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,125,2.75R18,101,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,RAUM (CBA-NCZ20),1496,175/65R14,1150,4,2
First Time Registration - Motor Cycle,Ordinary Vehicles,BAJAJ,BOXER,100,3.00-17,125,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,ELF-S-NHR55E,2770,205/80R15,1890,6,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HARRIER GF-SXU15W,2163,215/70R16,1680,4,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,LANDCRUISER LJ 79,2982,265/70R16,2680,4,1
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,FORWARD (FRR12JA),6300,7.50R16,4000,6,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,NISSAN,NAVARA (VSKBVND40),2488,255/65R17,1605,4,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,TVS,STAR HLX,100,2.7-17X3.00-17,48,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,COROLLA SPACIO CBA-NZE121N-FPPNK,1490,195/60R15,1200,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,LITEACE (GA-YM55),1812,175X14,1000,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,COROLLA SPACIO CBA-NZE121N-FPPNK,1496,185/70R14,1180,4,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,TOYOTA,LANDCRUISER(JTERB71J),4164,235/85R16,1962,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (FE447),4210,7.50R15,2870,6,2
First Time Registration - Motor Cycle,Ordinary Vehicles,HAOJIN,LZL12P,125,2.75-18,101,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,LAND CRUISER PRADO GF-RZJ95W,2690,265/70R16,1880,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (FE311B),4214,6.50R16,2000,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,CORONA PREMIO GF-AT211,1762,185/65R14,1150,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,NISSAN,X-TRAIL UA-NT30,1990,215/70R15,1420,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1794,185/70R15,1300,4,2
First Time Registration - Motor Cycle,Ordinary Vehicles,SENKO,LGVSJP,125,2.75-17,101,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,ALLEX RS180 TA-ZZE123-BHPQF,1490,185/75R14,1190,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,FUSO (FK417E),7545,8.25R16,4000,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (FE315BD),3563,7.00R16,2370,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HILUX (KUN25R-PRMDHN),2494,255/70R15,1735,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,LAND CRUISER (S-HDJ81V),4163,265/70R16,2300,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (FE648E),4561,205 85R16,3500,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH (CBA-ZNE10G),1790,195/65R16,1300,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,MARK II TA-GX110,1988,205/55R16,1390,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,ELF (NKR58L),3636,7.00R15,3180,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,PREMIO (CBA-ZZT240),1794,185/70R15,1170,4,2
First Time Registration - Motor Cycle,Ordinary Vehicles,HONDA,MD26,230,2.75X18,120,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,HONDA,FORZA250,250,2.75X18,200,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,HONDA,FORZA250,250,2.75X18,200,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,KYMCO,ZX 50,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,MAJESTY 125,125,2.75X18,130,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,TTR250,250,2.75X18,130,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,XT250,250,2.75X18,150,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,SUZUKI,RM80,50,2.75X18,100,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,SYM,SYMDD,50,2.75X18,90,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,SYM,SYMDD,50,2.75X18,90,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,SYM,SYMDD,125,2.75X18,145,2,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE14G-HPPNK,1794,195/70R15,1400,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,SUBARU,LEGACY CBA-BP5,1990,215/45R17,1370,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,AVENSIS ZZT251L,1795,205/55R16,1600,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,ELF (U-NKR58ED),3636,7.00R15,2610,6,2
